Cut,Azimuth Min,Azimuth Max,Pitch Min,Pitch Max,Roll Min,Roll Max,Color,Doppler,Mmode
Subcostal Coronal Post,-20,0,-60,-54,80,110,Present,Default,Default
Subcostal Coronal Aorta,-20,0,-53,-45,80,110,Present,Default,Default
Subcostal Coronal Ant,-10,10,-43,-30,80,110,Present,Default,Default
Subcostal Sagital Apex,15,35,-55,-30,115,150,Present,Default,Default
Subcostal Sagital RVOT,5,14,-55,-30,135,170,Present,Default,Default
Subcostal Sag Aorta,-5,4,-55,-30,150,170,Present,Default,Default
Subcostal Sagital Bicaval,-15,-6,-55,-25,150,179,Present,Present,Default
Subcostal Transverse Cut,-70,-30,-95,-70,90,140,Present,Default,Default
Subcostal Long Aorta,30,70,-95,-70,-70,-30,Present,Default,Default
Subcostal Long IVC,-90,-50,-90,-50,50,90,Present,Default,Default
